Date,Close/Last,Volume,Open,High,Low
11/23/2022,$72.57,568475,$72.49,$72.94,$72.0556
11/22/2022,$72.24,1062775,$70.95,$72.43,$70.82
11/21/2022,$70.47,801680,$70.07,$70.85,$70.0125
11/18/2022,$69.79,1012273,$69.88,$70.245,$69.28
11/17/2022,$68.89,524817,$68.74,$69.10,$68.31
11/16/2022,$69.56,744007,$69.42,$70.20,$69.20
11/15/2022,$69.25,892355,$69.70,$70.23,$68.505
11/14/2022,$68.88,1009610,$69.72,$70.16,$68.87
11/11/2022,$69.64,1166871,$70.00,$70.15,$68.95
11/10/2022,$69.84,1242199,$68.19,$69.98,$67.6876
11/09/2022,$66.44,865300,$66.96,$67.28,$66.18
11/08/2022,$66.99,647931,$67.40,$67.55,$66.57
11/07/2022,$67.09,612086,$67.47,$67.47,$66.69
11/04/2022,$67.15,710090,$66.81,$67.395,$65.96
11/03/2022,$66.16,632955,$65.81,$66.42,$65.485
11/02/2022,$66.44,872797,$67.40,$68.39,$66.42
11/01/2022,$67.44,722641,$68.40,$68.79,$67.16
10/31/2022,$68.00,1335275,$67.65,$68.71,$67.65
10/28/2022,$68.17,960330,$66.79,$68.40,$66.79
10/27/2022,$66.59,762308,$66.77,$67.22,$66.45
10/26/2022,$66.63,883053,$67.01,$67.70,$66.50
10/25/2022,$66.82,1276875,$64.69,$66.85,$64.39
10/24/2022,$64.47,903551,$64.37,$64.84,$63.755
10/21/2022,$63.90,768476,$63.46,$64.09,$63.02
10/20/2022,$63.37,932958,$64.23,$64.34,$63.23
10/19/2022,$64.26,1090858,$65.68,$65.76,$64.05
10/18/2022,$65.74,1150827,$66.13,$66.35,$65.285
10/17/2022,$65.41,1053649,$64.56,$65.52,$64.45
10/14/2022,$63.89,898139,$66.16,$66.31,$63.85
10/13/2022,$65.43,821514,$63.21,$65.6456,$63.19
10/12/2022,$64.46,943147,$65.02,$65.18,$64.46
10/11/2022,$64.65,975969,$65.10,$65.48,$64.38
10/10/2022,$65.00,689699,$65.32,$65.42,$64.47
10/07/2022,$65.13,1045185,$65.81,$65.975,$64.78
10/06/2022,$66.20,754196,$67.45,$67.64,$66.12
10/05/2022,$67.39,970849,$67.81,$68.11,$66.84
10/04/2022,$68.51,1049805,$68.62,$69.11,$67.82
10/03/2022,$68.28,987529,$67.02,$68.31,$66.82
09/30/2022,$66.57,973006,$67.60,$67.60,$66.57
09/29/2022,$67.40,724515,$68.12,$68.18,$67.05
09/28/2022,$68.10,1269161,$67.98,$68.35,$67.38
09/27/2022,$67.50,801449,$69.51,$69.65,$67.42
09/26/2022,$68.85,796149,$68.50,$69.21,$68.18
09/23/2022,$68.56,954667,$69.41,$69.53,$67.815
09/22/2022,$69.83,869802,$70.72,$70.77,$69.82
09/21/2022,$70.80,709665,$71.30,$72.20,$70.80
09/20/2022,$71.01,1199313,$70.82,$71.36,$70.49
09/19/2022,$71.23,850630,$70.24,$71.24,$70.12
09/16/2022,$70.56,1914489,$70.50,$71.08,$70.03
09/15/2022,$70.33,1153271,$71.89,$71.89,$70.31
09/14/2022,$72.04,1751695,$71.67,$72.60,$71.04
09/13/2022,$71.24,1136645,$72.72,$73.11,$71.13
09/12/2022,$73.49,1408080,$73.70,$74.01,$73.07
09/09/2022,$73.48,892930,$73.35,$73.95,$72.9777
09/08/2022,$72.77,1639815,$72.26,$72.88,$71.66
09/07/2022,$72.75,1486056,$71.28,$72.85,$71.26
09/06/2022,$71.03,1363247,$71.90,$72.22,$70.78
09/02/2022,$71.64,1244755,$72.86,$73.589,$71.45
09/01/2022,$72.51,1422134,$73.19,$73.19,$71.22
08/31/2022,$72.70,1975112,$73.18,$73.94,$72.15
08/30/2022,$73.52,1460642,$75.39,$75.665,$73.05
08/29/2022,$75.34,1044115,$75.09,$75.99,$74.6911
08/26/2022,$75.75,649853,$77.68,$77.88,$75.68
08/25/2022,$77.56,493826,$77.39,$78.03,$77.03
08/24/2022,$77.33,894463,$76.80,$77.60,$76.20
08/23/2022,$76.56,531584,$76.99,$77.28,$76.245
08/22/2022,$77.23,676862,$76.85,$77.66,$76.53
08/19/2022,$77.24,806159,$77.69,$77.83,$77.16
08/18/2022,$77.66,684301,$77.59,$77.84,$77.30
08/17/2022,$77.66,807698,$77.15,$78.15,$76.90
08/16/2022,$77.45,670537,$76.70,$77.56,$76.70
08/15/2022,$76.95,668495,$75.68,$77.01,$75.68
08/12/2022,$76.14,668765,$75.75,$76.17,$75.315
08/11/2022,$75.40,508513,$76.05,$76.26,$75.315
08/10/2022,$75.93,688524,$76.30,$76.65,$75.56
08/09/2022,$75.43,1233360,$74.27,$75.92,$74.23
08/08/2022,$74.26,916544,$76.06,$76.06,$73.9901
