,Highest,Lowest,Highest_Val,Lowest_Val
MRO,COP,WST,0.9394080355182932,-0.7080942478591773
MS,BK,K,0.9026545511690908,-0.3879665723628158
MSCI,APTV,MOH,0.8756796793201261,-0.5861748638563211
MSFT,META,DG,0.9608488477695759,-0.8559687863788521
MSI,LIN,LNC,0.948938866134178,-0.8226303382951146
MTB,LNC,BSX,0.9405098568250906,-0.8898305563897729
MTCH,TRMB,MRK,0.9346130784795901,-0.7615623358120731
MTD,TDY,EQT,0.8782215046277294,-0.7079569625377415
MU,LRCX,DG,0.8919792535847516,-0.7071445530385688
NCLH,CCL,DG,0.880734432663214,-0.6049943227135034
NDAQ,PFE,META,0.8920095282063236,-0.8336335883786373
NDSN,HD,HUM,0.8622925467612318,-0.41398810075336906
NEE,ES,GEHC,0.8918872849818389,-0.6616554273258058
NEM,MTD,TSLA,0.8128455165559414,-0.6419871720175906
NFLX,DRI,AAP,0.9511480986555544,-0.876056826444701
NI,EXC,COP,0.9306762610052829,-0.5246776439128187
NKE,MTD,NRG,0.8472004709306141,-0.6797146895891351
NOC,GD,ALGN,0.8387729659342156,-0.7786141945557864
NOW,SNPS,DG,0.9511856805233564,-0.8242325603917758
NRG,CTRA,WYNN,0.8490916604517097,-0.7049891483788514
NSC,KIM,GEHC,0.9087431241294877,-0.700527127000505
NTAP,COST,CPB,0.9032557226833107,-0.6923740354730606
NTRS,USB,LLY,0.895099165576039,-0.7925410707208287
NUE,URI,BAX,0.9398523901603665,-0.5754763819125684
NVDA,AVGO,DG,0.9815876593260108,-0.9432252246438303
NVR,LEN,CVS,0.9877916344395413,-0.8893212405028156
NWL,EPAM,LLY,0.933672906804334,-0.8409890414848236
NWS,NWSA,BRK.B,0.998445237414687,-0.4847271399454834
NWSA,NWS,BRK.B,0.998445237414687,-0.5090319002131405
NXPI,TEL,DG,0.9378279737993763,-0.7642842367249185
O,MAA,GEHC,0.8654542624055175,-0.45210880964259675
ODFL,MCHP,DG,0.9199058598063852,-0.6771289446260805
OGN,IFF,GEHC,0.9407800502981191,-0.7316287915116603
OKE,PM,BAX,0.8857129837979169,-0.432404487174091
OMC,IPG,CF,0.9725857522118948,-0.8679232820528975
ON,LRCX,DG,0.9326119038910168,-0.8621645341394449
ORCL,AVGO,AAP,0.9679104307691134,-0.8976177204255728
ORLY,MNST,EPAM,0.9421908131294066,-0.8592790578277655
OTIS,MA,LNC,0.9529839504852812,-0.7381026522432121
OXY,DVN,SYK,0.8946420619587264,-0.6739388766622929
PANW,AAPL,DG,0.9291069300154595,-0.8858108452573615
PARA,BIO,LLY,0.873730562054531,-0.7312822850136614
PAYC,MTCH,GIS,0.8641456219238777,-0.6671885086260091
PAYX,UNP,REGN,0.900212724890103,-0.6057386141323237
PCAR,PH,AAP,0.9643882166057705,-0.8400734772876247
PCG,ACGL,VFC,0.936117012079035,-0.8967628928441861
PEAK,ARE,GEHC,0.9692659127165748,-0.7299478954566045
PEG,NI,MRO,0.9141111072157702,-0.47884675438318214
PEP,MCD,ZION,0.9138591345380315,-0.7593469853238967
PFE,NDAQ,GEHC,0.8920095282063236,-0.8836826413777576
PFG,MET,EW,0.8846772863300275,-0.5877216142065719
PG,KMB,LNC,0.9371121530806329,-0.6985305748501669
PGR,MKTX,BAX,0.8313913401270661,-0.7345621315784295
PH,ROK,DG,0.9712213519371917,-0.8175098452393809
PHM,LEN,AAP,0.9844236434307134,-0.9067656666450742
PKG,DOW,MOH,0.8241554727312718,-0.461978430179664
PLD,EBAY,NOC,0.8679270730166111,-0.5710587704338134
PM,HSIC,NRG,0.894021811538442,-0.5013248243221476
PNC,FITB,HSY,0.9693989736622043,-0.8448487401134217
PNR,TDG,DG,0.9800452915996641,-0.8462181605343957
PNW,EQIX,AAP,0.9262655479219841,-0.7416263084168088
PODD,TDY,LNC,0.8347975613809715,-0.7753382997252232
POOL,SWK,NOC,0.8657744238100468,-0.62873314657048
PPG,ICE,AAP,0.9265546652980156,-0.742452639409509
PPL,AWK,GEHC,0.9077955211391595,-0.5740472679746941
PRU,RJF,HSY,0.9312539129743047,-0.6660027392155735
PSA,EXR,BIIB,0.8881321495984361,-0.6362027520869791
PSX,SLB,GNRC,0.9089719278149664,-0.6693038569592671
PTC,IR,AAP,0.9419930649374235,-0.740897292021368
PWR,NVDA,DG,0.9761100232995255,-0.9061482018242508
PXD,OXY,ANSS,0.8570939992162395,-0.566053750429042
PYPL,BRK.B,MRK,0.9055923636950906,-0.8539505637292769
QCOM,WDC,GIS,0.8209765003534204,-0.5195670901449689
QRVO,TER,MOH,0.87849586254046,-0.4710186626367493
RCL,ETN,AAP,0.9601640503721831,-0.9004001848941989
REG,BLK,GEHC,0.9220958585170226,-0.25036391643885497
REGN,TSCO,HAS,0.7451266395127281,-0.8078664389878034
RF,HBAN,HSY,0.964184624931886,-0.7826146251617473
RHI,USB,GIS,0.6625995607512188,-0.6478229333981098
RJF,PRU,HSY,0.9312539129743047,-0.7213264072486935
RL,IDXX,AAP,0.9441037954339078,-0.7388558285172457
RMD,DLTR,GL,0.5142050471903933,-0.25493637402649877
ROK,PH,AAP,0.9712213519371917,-0.8214908036612217
ROL,VRTX,NWL,0.8631019063145973,-0.705204075818705
ROP,MA,AAP,0.9522883005227726,-0.7230561875528124
ROST,APD,GEHC,0.9118671293414644,-0.6436848183875121
RSG,WM,FMC,0.8911392720292779,-0.8158997529696103
RTX,TDY,AIZ,0.8597906445348513,-0.6890588552333753
RVTY,AMCR,RCL,0.8770829870038594,-0.5807975184855056
SBAC,CCI,PCG,0.9610680879542937,-0.7971246425435744
SBUX,EG,LNC,0.9047715540379121,-0.7850108075344939
SCHW,HBAN,HSY,0.945006278748926,-0.8195692019255906
SEDG,VICI,NRG,0.7113483395145402,-0.41629416865720836
SEE,IFF,LLY,0.9301538827236354,-0.6487978614349984
SHW,LOW,AAP,0.8798352099184302,-0.49303940307198885
SJM,MRK,MTB,0.885231746272701,-0.7910653806478244
SLB,HAL,GNRC,0.9192576403339476,-0.6924023913611569
SNA,IR,AAP,0.9626549681843587,-0.8413452121587459
SNPS,CDNS,DG,0.9690986074354768,-0.8747703290880093
